Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
We'll have to get rid of that mole.,Musíme se zbavit toho znamínka.,e9490cd.jpeg,0.5613,0.5876,0.3578,0.3599,0.1295
We'll have to get rid of that mole.,Musíme se zbavit toho krtka.,e2f18daf.jpeg,0.5838,0.613,0.3866,0.3848,0.1481
He finally made it to the bank.,Konečně se dostal na břeh.,40cc251e.jpeg,0.595,0.6169,0.3941,0.3301,0.109
He finally made it to the bank.,Konečně se dostal do banky.,d12293c.jpeg,0.7125,0.7545,0.3997,0.3662,0.1341
So you see, they don't even own the plant.,Takže vidíte, že oni ani nevlastní rostlinu.,d8011246.jpeg,0.6221,0.6512,0.3761,0.3443,0.1185
So you see, they don't even own the plant.,Takže vidíte, že oni ani nevlastní elektrárnu.,4bedbae4.jpeg,0.6137,0.6394,0.3958,0.3439,0.1182
There are still a couple of bugs left.,Zbylo ještě pár chyb.,b547ce7.jpeg,0.5152,0.5381,0.4042,0.4546,0.2067
There are still a couple of bugs left.,Zbylo ještě pár brouků.,d1f5f19.jpeg,0.6029,0.6357,0.4918,0.5438,0.2958
Hand me that bow.,Podej mi tu luk.,8b24724.jpeg,0.3396,0.3455,0.3124,0.4637,0.215
Hand me that bow.,Podej mi ten luk.,cf7bfad.jpeg,0.4079,0.4293,0.3219,0.4999,0.2499
Do you want to borrow my glasses?,Chceš si půjčit moje brýle?,dc8979e.jpeg,0.6333,0.6751,0.3866,0.4115,0.1693
Do you want to borrow my glasses?,Chceš si půjčit moje sklenice?,9ef4910.jpeg,0.5889,0.6223,0.3631,0.3849,0.1481
There are chips in a bowl.,V misce jsou žetony.,c6249700.jpeg,0.4325,0.4229,0.4598,0.5939,0.3527
There are chips in a bowl.,V misce jsou hranolky.,737c4103.jpeg,0.4378,0.4537,0.3887,0.5692,0.3239
We do silver nails too.,Taky děláme stříbrné nehty.,1acd9766.jpg,0.6371,0.6873,0.388,0.4491,0.2017
We do silver nails too.,Taky děláme stříbrné hřebíky.,92c962d4.jpeg,0.5539,0.5769,0.4449,0.4591,0.2108
First we should fill up the boot.,Nejdřív bychom měli naplnit batoh.,a13f9a0.jpeg,0.6128,0.6418,0.3353,0.3233,0.1045
First we should fill up the boot.,Nejdřív bychom měli naplnit kufřík.,a01e98cb.jpeg,0.6121,0.6478,0.3543,0.3722,0.1386
Put down your arms.,Položte zbraně.,48ef354.jpeg,0.5342,0.5455,0.4557,0.379,0.1437
Put down your arms.,Polož ruce.,f8f9418.jpeg,0.4635,0.4778,0.3749,0.401,0.1608
It must be the spring.,To musí být jaro.,e20c4ff.jpeg,0.5251,0.5478,0.4157,0.4553,0.2073
It must be the spring.,To musí být ta pružina.,458999c.jpeg,0.3987,0.3926,0.4236,0.4926,0.2426
My chest is quite heavy...,Moje hruď je docela těžká...,edf9e44e.jpeg,0.6346,0.6941,0.4208,0.5279,0.2787
My chest is quite heavy...,Moje truhla je dost těžká...,f4f9494.jpeg,0.4697,0.4842,0.3118,0.303,0.0918
The beam seems to be moving.,Zdá se, že se ten paprsek pohybuje.,a8b1169.jpeg,0.593,0.6269,0.4834,0.5564,0.3096
The beam seems to be moving.,Zdá se, že se trám pohybuje.,e50fb00.jpeg,0.5633,0.5932,0.3843,0.4086,0.1669
Over there by the pen.,Tamhle u peně.,8de21f5.jpeg,0.365,0.3762,0.3048,0.4296,0.1846
Over there by the pen.,Tamhle u tužky.,68161a4.jpeg,0.2897,0.2887,0.2958,0.4018,0.1615
They're braces.,Jsou to rovnátka.,230b2b4.jpeg,0.5033,0.5285,0.3018,0.3531,0.1246
They're braces.,Jsou to rovnátka.,a9ee65f.jpeg,0.4781,0.5285,0.3498,0.6269,0.3929
I know. The last one was a real nut.,Poslední byl opravdový ořech.,d9cbe61.jpeg,0.492,0.5137,0.3868,0.4548,0.2069
I know. The last one was a real nut.,Já vím, ten poslední byl opravdový ořech.,7adadb10.jpeg,0.5975,0.6387,0.2967,0.37,0.1369
It might be easier with a pick.,Možná by to bylo jednodušší s pikou.,b599303.jpeg,0.5891,0.6391,0.3961,0.5092,0.2593
It might be easier with a pick.,Možná by to bylo jednodušší s brouškem.,4a6ca5a.jpeg,0.577,0.6251,0.3428,0.4531,0.2053
I have a club.,Mám klavír.,cce02b1.jpeg,0.4594,0.503,0.3137,0.5468,0.2989
I have a club.,Mám klub.,d01da65.jpeg,0.6116,0.6618,0.3406,0.4305,0.1853
Which port does he want?,Který přístav chce?,de257f1.jpeg,0.5446,0.5393,0.5757,0.4127,0.1704
