Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
We'll have to get rid of that mole.,Wir müssen den Maulwurf loswerden.,e9490cd.jpeg,0.5804,0.6113,0.3418,0.3599,0.1295
We'll have to get rid of that mole.,Wir müssen den Maulwurf loswerden.,e2f18daf.jpeg,0.5921,0.6113,0.4627,0.3848,0.1481
He finally made it to the bank.,Er schaffte es schließlich zur Bank.,40cc251e.jpeg,0.7143,0.751,0.3777,0.3301,0.109
He finally made it to the bank.,Er schaffte es schließlich zur Bank.,d12293c.jpeg,0.7121,0.751,0.4224,0.3662,0.1341
So you see, they don't even own the plant.,Sehen Sie, sie besitzen nicht einmal die Pflanze.,d8011246.jpeg,0.6148,0.6327,0.4636,0.3443,0.1185
So you see, they don't even own the plant.,Sehen Sie, sie besitzen nicht einmal die Pflanze.,4bedbae4.jpeg,0.6052,0.6327,0.3725,0.3439,0.1182
There are still a couple of bugs left.,Es sind noch ein paar Käfer übrig.,b547ce7.jpeg,0.6108,0.6642,0.3528,0.4546,0.2067
There are still a couple of bugs left.,Es sind noch ein paar Käfer übrig.,d1f5f19.jpeg,0.6203,0.6642,0.4719,0.5438,0.2958
Hand me that bow.,Gib mir den Bogen.,8b24724.jpeg,0.5846,0.6107,0.4636,0.4637,0.215
Hand me that bow.,Gib mir den Bogen.,cf7bfad.jpeg,0.5851,0.6107,0.4829,0.4999,0.2499
Do you want to borrow my glasses?,Willst du mir meine Brille leihen?,dc8979e.jpeg,0.6155,0.6627,0.3367,0.4115,0.1693
Do you want to borrow my glasses?,Willst du mir meine Brille leihen?,9ef4910.jpeg,0.6131,0.6627,0.2784,0.3849,0.1481
There are chips in a bowl.,Es gibt Chips in einer Schüssel.,c6249700.jpeg,0.6601,0.6872,0.5835,0.5939,0.3527
There are chips in a bowl.,Es gibt Chips in einer Schüssel.,737c4103.jpeg,0.6383,0.6872,0.4875,0.5692,0.3239
First we should fill up the boot.,Zuerst sollten wir den Kofferraum füllen.,a13f9a0.jpeg,0.6359,0.6644,0.3628,0.3233,0.1045
First we should fill up the boot.,Zuerst sollten wir den Kofferraum füllen.,a01e98cb.jpeg,0.6253,0.6644,0.3434,0.3722,0.1386
Put down your arms.,Nehmen Sie die Arme runter.,48ef354.jpeg,0.586,0.6146,0.3873,0.379,0.1437
Put down your arms.,Nehmen Sie die Arme runter.,f8f9418.jpeg,0.5986,0.6146,0.4989,0.401,0.1608
It must be the spring.,Es muss der Frühling sein.,e20c4ff.jpeg,0.6056,0.6474,0.4036,0.4553,0.2073
It must be the spring.,Es muss der Frühling sein.,458999c.jpeg,0.6004,0.6474,0.4066,0.4926,0.2426
My chest is quite heavy...,Meine Brust ist ziemlich schwer...,edf9e44e.jpeg,0.6608,0.7175,0.4573,0.5279,0.2787
My chest is quite heavy...,Meine Brust ist ziemlich schwer...,f4f9494.jpeg,0.6794,0.7175,0.2643,0.303,0.0918
The beam seems to be moving.,Der Strahl scheint sich zu bewegen.,a8b1169.jpeg,0.691,0.737,0.5424,0.5564,0.3096
The beam seems to be moving.,Der Strahl scheint sich zu bewegen.,e50fb00.jpeg,0.6754,0.737,0.3059,0.4086,0.1669
Over there by the pen.,Da drüben beim Stift.,8de21f5.jpeg,0.5142,0.5413,0.3676,0.4296,0.1846
Over there by the pen.,Da drüben beim Stift.,68161a4.jpeg,0.5203,0.5413,0.3904,0.4018,0.1615
They're braces.,Das sind Zahnspangen.,230b2b4.jpeg,0.576,0.6012,0.3736,0.3531,0.1246
They're braces.,Das sind Zahnspangen.,a9ee65f.jpeg,0.6023,0.6012,0.6052,0.6269,0.3929
I know. The last one was a real nut.,Ich weiß, der letzte war ein richtiger Spinner.,d9cbe61.jpeg,0.6052,0.6602,0.3391,0.4548,0.2069
I know. The last one was a real nut.,Ich weiß, der letzte war ein richtiger Spinner.,7adadb10.jpeg,0.6221,0.6602,0.3439,0.37,0.1369
It might be easier with a pick.,Es könnte einfacher sein mit einer Auswahl.,b599303.jpeg,0.5636,0.6135,0.3714,0.5092,0.2593
It might be easier with a pick.,Es könnte einfacher sein mit einer Auswahl.,4a6ca5a.jpeg,0.558,0.6135,0.2878,0.4531,0.2053
I have a club.,Ich habe einen Club.,cce02b1.jpeg,0.6119,0.6597,0.4521,0.5468,0.2989
I have a club.,Ich habe einen Club.,d01da65.jpeg,0.6215,0.6597,0.4155,0.4305,0.1853
Which port does he want?,Welchen Hafen will er?,de257f1.jpeg,0.627,0.6397,0.5525,0.4127,0.1704
Which port does he want?,Welchen Hafen will er?,4511cf4.jpeg,0.5977,0.6397,0.3787,0.4377,0.1916
Sorry, the tape's just run out.,Tut mir leid, das Band ist gerade ausgelaufen.,cc50c7e0.jpeg,0.4679,0.4799,0.389,0.39,0.1521
Sorry, the tape's just run out.,Tut mir leid, das Band ist gerade ausgelaufen.,8207d9b2.jpeg,0.4599,0.4799,0.3603,0.4483,0.201
They checked the seal.,Sie haben das Siegel überprüft.,8b12aebf.jpeg,0.5819,0.5937,0.446,0.2947,0.0868
They checked the seal.,Sie haben das Siegel überprüft.,59364b5.jpeg,0.5582,0.5937,0.3518,0.4143,0.1716
Why is the chair here?,Warum ist der Stuhl hier?,2caf5d9.jpeg,0.731,0.8196,0.3961,0.5144,0.2646
Why is the chair here?,Warum ist der Stuhl hier?,ef02ac2.jpeg,0.7383,0.8196,0.5559,0.6679,0.4461
There must be a hole in the tank somewhere.,Irgendwo muss ein Loch im Tank sein.,22f9dcb.jpeg,0.5741,0.6143,0.3361,0.4107,0.1687
There must be a hole in the tank somewhere.,Irgendwo muss ein Loch im Tank sein.,acb5659.jpeg,0.5796,0.6143,0.4345,0.4886,0.2387
