Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
We'll have to get rid of that mole.,Nous allons devoir nous débarrasser de ce terrier.,e9490cd.jpeg,0.6247,0.664,0.3211,0.3599,0.1295
We'll have to get rid of that mole.,Nous allons devoir nous débarrasser de ce terrier.,e2f18daf.jpeg,0.6247,0.664,0.3593,0.3848,0.1481
He finally made it to the bank.,Il a finalement réussi à atteindre la banque.,40cc251e.jpeg,0.715,0.7583,0.3178,0.3301,0.109
He finally made it to the bank.,Il a finalement réussi à atteindre la banque.,d12293c.jpeg,0.7156,0.7583,0.3976,0.3662,0.1341
So you see, they don't even own the plant.,Donc, vous voyez, ils ne possèdent même pas la plante.,d8011246.jpeg,0.7041,0.7398,0.4026,0.3443,0.1185
So you see, they don't even own the plant.,Donc, vous voyez, ils ne possèdent même pas la plante.,4bedbae4.jpeg,0.7041,0.7398,0.4022,0.3439,0.1182
There are still a couple of bugs left.,Il reste encore quelques bugs.,b547ce7.jpeg,0.617,0.6519,0.4481,0.4546,0.2067
There are still a couple of bugs left.,Il reste encore quelques bugs.,d1f5f19.jpeg,0.604,0.6519,0.4421,0.5438,0.2958
Hand me that bow.,Passe-moi cette corde.,8b24724.jpeg,0.5517,0.5811,0.4146,0.4637,0.215
Hand me that bow.,Passe-moi cette corde.,cf7bfad.jpeg,0.5374,0.5811,0.3626,0.4999,0.2499
Do you want to borrow my glasses?,Voulez-vous emprunter mes lunettes ?,dc8979e.jpeg,0.6563,0.7039,0.3752,0.4115,0.1693
Do you want to borrow my glasses?,Voulez-vous emprunter mes lunettes ?,9ef4910.jpeg,0.6498,0.7039,0.2842,0.3849,0.1481
There are chips in a bowl.,Il y a des frites dans un bol.,c6249700.jpeg,0.5694,0.5931,0.5024,0.5939,0.3527
There are chips in a bowl.,Il y a des frites dans un bol.,737c4103.jpeg,0.6168,0.5931,0.6903,0.5692,0.3239
We do silver nails too.,Nous faisons aussi des ongles argentés.,1acd9766.jpg,0.6719,0.7324,0.3718,0.4491,0.2017
We do silver nails too.,Nous faisons aussi des ongles argentés.,92c962d4.jpeg,0.6741,0.7324,0.3975,0.4591,0.2108
First we should fill up the boot.,Tout d'abord, nous devrions remplir le coffre.,a13f9a0.jpeg,0.6283,0.6553,0.3697,0.3233,0.1045
First we should fill up the boot.,Tout d'abord, nous devrions remplir le coffre.,a01e98cb.jpeg,0.6239,0.6553,0.397,0.3722,0.1386
Put down your arms.,Laissez tomber vos armes.,48ef354.jpeg,0.629,0.6613,0.4042,0.379,0.1437
Put down your arms.,Laissez tomber vos armes.,f8f9418.jpeg,0.6198,0.6613,0.3621,0.401,0.1608
It must be the spring.,Il doit être le printemps.,e20c4ff.jpeg,0.5696,0.596,0.4423,0.4553,0.2073
