Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
We'll have to get rid of that mole.,On va devoir se débarrasser de cette taupe.,e9490cd.jpeg,0.6353,0.6745,0.3332,0.3599,0.1295
We'll have to get rid of that mole.,On va devoir se débarrasser de cette taupe.,e2f18daf.jpeg,0.6323,0.6745,0.3476,0.3848,0.1481
He finally made it to the bank.,Il est enfin arrivé à la banque.,40cc251e.jpeg,0.7639,0.8125,0.3175,0.3301,0.109
He finally made it to the bank.,Il est enfin arrivé à la banque.,d12293c.jpeg,0.7642,0.8125,0.4036,0.3662,0.1341
So you see, they don't even own the plant.,Donc vous voyez, ils ne possèdent même pas la plante.,d8011246.jpeg,0.7086,0.7442,0.4086,0.3443,0.1185
So you see, they don't even own the plant.,Donc vous voyez, ils ne possèdent même pas la centrale.,4bedbae4.jpeg,0.6727,0.7022,0.4226,0.3439,0.1182
There are still a couple of bugs left.,Il reste encore quelques bugs.,b547ce7.jpeg,0.617,0.6519,0.4481,0.4546,0.2067
There are still a couple of bugs left.,Il reste encore quelques insectes.,d1f5f19.jpeg,0.6158,0.6231,0.5914,0.5438,0.2958
Hand me that bow.,Donne-moi ce nœud.,8b24724.jpeg,0.4942,0.498,0.4768,0.4637,0.215
Hand me that bow.,Donne-moi cet arc.,cf7bfad.jpeg,0.4702,0.4892,0.3939,0.4999,0.2499
Do you want to borrow my glasses?,Tu veux emprunter mes lunettes?,dc8979e.jpeg,0.6314,0.672,0.3912,0.4115,0.1693
Do you want to borrow my glasses?,Tu veux emprunter mes verres?,9ef4910.jpeg,0.6022,0.644,0.3198,0.3849,0.1481
There are chips in a bowl.,Il y a des jetons dans un bol.,c6249700.jpeg,0.6106,0.5973,0.6483,0.5939,0.3527
There are chips in a bowl.,Il y a des chips dans un bol.,737c4103.jpeg,0.7418,0.7794,0.6257,0.5692,0.3239
We do silver nails too.,On fait aussi des ongles en argent.,1acd9766.jpg,0.5988,0.6441,0.3746,0.4491,0.2017
We do silver nails too.,On fait aussi des clous en argent.,92c962d4.jpeg,0.5407,0.5649,0.426,0.4591,0.2108
First we should fill up the boot.,Il faut d'abord remplir le coffre.,a13f9a0.jpeg,0.576,0.5965,0.3804,0.3233,0.1045
First we should fill up the boot.,Il faut d'abord remplir le coffre.,a01e98cb.jpeg,0.5731,0.5965,0.4041,0.3722,0.1386
Put down your arms.,Posez vos armes.,48ef354.jpeg,0.5417,0.5551,0.4479,0.379,0.1437
Put down your arms.,Posez vos bras.,f8f9418.jpeg,0.4714,0.4597,0.5441,0.401,0.1608
It must be the spring.,Ça doit être le printemps.,e20c4ff.jpeg,0.66,0.7194,0.3737,0.4553,0.2073
It must be the spring.,Ça doit être le ressort.,458999c.jpeg,0.5339,0.5571,0.4383,0.4926,0.2426
My chest is quite heavy...,Ma poitrine est assez lourde...,edf9e44e.jpeg,0.6696,0.7219,0.4821,0.5279,0.2787
My chest is quite heavy...,Mon coffre est assez lourd...,f4f9494.jpeg,0.5013,0.5136,0.3666,0.303,0.0918
The beam seems to be moving.,Le faisceau semble bouger.,a8b1169.jpeg,0.6199,0.6682,0.464,0.5564,0.3096
The beam seems to be moving.,La poutre semble bouger.,e50fb00.jpeg,0.5641,0.5768,0.4881,0.4086,0.1669
Over there by the pen.,Là-bas, près de l'enclos.,8de21f5.jpeg,0.5462,0.559,0.4769,0.4296,0.1846
Over there by the pen.,Là-bas, près du stylo.,68161a4.jpeg,0.4672,0.477,0.406,0.4018,0.1615
They're braces.,Ce sont des appareils.,230b2b4.jpeg,0.4305,0.4352,0.3933,0.3531,0.1246
They're braces.,Ce sont des appareils.,a9ee65f.jpeg,0.4547,0.4352,0.5043,0.6269,0.3929
I know. The last one was a real nut.,La dernière était une vraie noix.,d9cbe61.jpeg,0.5565,0.582,0.4328,0.4548,0.2069
I know. The last one was a real nut.,La dernière était une vraie noix.,7adadb10.jpeg,0.556,0.582,0.3658,0.37,0.1369
It might be easier with a pick.,Ce serait plus facile avec un pic.,b599303.jpeg,0.5052,0.5483,0.3389,0.5092,0.2593
It might be easier with a pick.,Ce serait plus facile avec une pioche.,4a6ca5a.jpeg,0.5429,0.5809,0.3573,0.4531,0.2053
I have a club.,J'ai un club.,cce02b1.jpeg,0.6459,0.7066,0.4429,0.5468,0.2989
I have a club.,J'ai un club.,d01da65.jpeg,0.6515,0.7066,0.3543,0.4305,0.1853
Which port does he want?,Quel port il veut?,de257f1.jpeg,0.7421,0.7731,0.5605,0.4127,0.1704
Which port does he want?,Quel port il veut?,4511cf4.jpeg,0.7314,0.7731,0.5137,0.4377,0.1916
Sorry, the tape's just run out.,Désolé, la cassette est épuisée.,cc50c7e0.jpeg,0.5393,0.5512,0.4607,0.39,0.1521
Sorry, the tape's just run out.,Désolé, le ruban est épuisé.,8207d9b2.jpeg,0.5947,0.6319,0.4097,0.4483,0.201
They checked the seal.,Ils ont vérifié le sceau.,8b12aebf.jpeg,0.661,0.6822,0.4162,0.2947,0.0868
They checked the seal.,Ils ont vérifié le phoque.,59364b5.jpeg,0.5683,0.6002,0.3822,0.4143,0.1716
Why is the chair here?,Pourquoi la chaise est ici?,2caf5d9.jpeg,0.7239,0.8072,0.4093,0.5144,0.2646
Why is the chair here?,Pourquoi la chaise est ici?,ef02ac2.jpeg,0.7438,0.8072,0.6016,0.6679,0.4461
There must be a hole in the tank somewhere.,Il doit y avoir un trou dans le réservoir quelque part.,22f9dcb.jpeg,0.6313,0.6778,0.3562,0.4107,0.1687
There must be a hole in the tank somewhere.,Il doit y avoir un trou dans le réservoir quelque part.,acb5659.jpeg,0.6342,0.6778,0.4518,0.4886,0.2387
We're going to have to do without the poker then.,On va devoir se passer du poker.,c0816da.jpeg,0.6331,0.6708,0.4061,0.4074,0.166
We're going to have to do without the poker then.,Nous allons devoir faire sans le poker alors.,32da2f5.jpeg,0.7152,0.7578,0.2918,0.3173,0.1007
I don't give a damn about the cup.,Je me fous de la coupe.,2f05055.jpeg,0.5035,0.527,0.3806,0.4374,0.1913
I don't give a damn about the cup.,Je me fous de la tasse.,247987b2.jpeg,0.547,0.5747,0.4357,0.4984,0.2484
The fans were still out of order.,Les fans étaient toujours en désordre.,0316663.jpeg,0.583,0.5986,0.4743,0.3784,0.1432
The fans were still out of order.,Les ventilateurs étaient toujours en panne.,657c4a7.jpeg,0.6662,0.6982,0.5551,0.5369,0.2883
I don't think we should use a brush.,Je ne pense pas qu'on devrait utiliser un pinceau.,189049b.jpeg,0.678,0.7475,0.3683,0.4739,0.2246
I don't think we should use a brush.,Je ne pense pas qu'on devrait utiliser un pinceau.,ff78fc7.jpeg,0.685,0.7475,0.3913,0.4611,0.2126
There's the horn.,Voilà le klaxon.,ed2221a.jpeg,0.4987,0.5074,0.4752,0.6072,0.3686
There's the horn.,Il y a la corne.,7d6fbfa.jpeg,0.531,0.5405,0.4914,0.4899,0.24
Can you not see the red light?,Vous ne voyez pas le feu rouge?,7241ebd.jpeg,0.6228,0.6659,0.492,0.5736,0.3291
Can you not see the red light?,Vous ne voyez pas le feu rouge?,fb2edd5.jpeg,0.6064,0.6659,0.4046,0.543,0.2948
I know - good job there are showers.,Je sais - bon travail il y a des averses.,a78f616.jpeg,0.5961,0.6197,0.4354,0.3834,0.147
I know - good job there are showers.,Je sais - bon travail il y a des douches.,3a1b985.jpeg,0.6305,0.6721,0.3785,0.4062,0.165
Like a bat?,Comme une chauve-souris?,e40843b.jpeg,0.5785,0.6059,0.4906,0.5581,0.3115
Like a bat?,Comme une batte?,c239573.jpeg,0.5201,0.5185,0.5284,0.4337,0.1881
You should use a fork.,Tu devrais utiliser une fourchette.,1aea2b4.jpeg,0.6746,0.7215,0.4933,0.5087,0.2587
You should use a fork.,Tu devrais utiliser une fourchette.,bbad554.jpeg,0.6697,0.7215,0.3703,0.4159,0.173
What a beautiful bass!,Quelle belle basse!,a96afbd.jpeg,0.5695,0.6079,0.4613,0.5952,0.3543
What a beautiful bass!,Quel beau bassin!,3165ef6.jpeg,0.5885,0.6282,0.4166,0.4807,0.231
A biker on the road.,Un motard sur la route.,4ercqd74.jpeg,0.74,0.7807,0.6561,0.6966,0.4852
A biker on the road.,Un cycliste sur la route.,d56edd34.jpeg,0.77,0.7581,0.7935,0.7107,0.5051
That's lots of bucks!,C'est beaucoup de dollars!,bee3626.jpeg,0.5993,0.6312,0.389,0.3895,0.1517
That's lots of bucks!,C'est beaucoup de dollars!,7c4e078.jpeg,0.6157,0.6312,0.5635,0.546,0.2981
A person looking at a rock.,Une personne qui regarde un rocher.,d052f05f.jpeg,0.7688,0.8332,0.5907,0.6013,0.3616
A person looking at a rock.,Une personne qui regarde un rocher.,118a75ff.jpeg,0.7667,0.8332,0.484,0.4847,0.2349
The lamp is tall and elegant.,La lampe est haute et élégante.,5a43462.jpeg,0.777,0.8632,0.5546,0.6222,0.3872
The lamp is tall and elegant.,La lampe est haute et élégante.,ffda480.jpeg,0.7824,0.8632,0.4236,0.4744,0.225
Give me the file please.,Donnez-moi le dossier s'il vous plaît.,e740816.jpeg,0.459,0.4659,0.4274,0.467,0.2181
Give me the file please.,Donnez-moi le fichier s'il vous plaît.,c47d9e24.jpeg,0.6287,0.6642,0.3394,0.3503,0.1227
The tube looks dirty!,Le métro est sale!,27b9b32.jpeg,0.5563,0.5549,0.5673,0.3563,0.127
The tube looks dirty!,Le tube est sale!,2535cf5.jpeg,0.7346,0.8043,0.396,0.4535,0.2057
An animal sitting in a palm.,Un animal assis dans un palmier.,a9c0ad02.jpeg,0.8014,0.877,0.6062,0.6227,0.3878
An animal sitting in a palm.,Un animal assis dans un palmier.,638a4049.jpeg,0.7989,0.877,0.4482,0.4722,0.223
Show me the ring!,Montre-moi la bague!,32962fc.jpeg,0.5441,0.5859,0.4191,0.5784,0.3346
Show me the ring!,Montrez-moi le ring!,f4217ff.jpeg,0.5791,0.5995,0.4434,0.3886,0.151
A man with a hat is smoking.,Un homme avec un chapeau est en train de fumer.,ee1f6c9.jpeg,0.8021,0.891,0.648,0.7598,0.5772
A man with a hat is smoking.,Un homme avec un chapeau fume.,33fbe77.jpeg,0.8242,0.8897,0.7028,0.7344,0.5394
