Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
We'll have to get rid of that mole.,Musíme se zbavit toho krtka.,e9490cd.jpeg,0.5854,0.613,0.372,0.3599,0.1295
We'll have to get rid of that mole.,Musíme se zbavit toho krtka.,e2f18daf.jpeg,0.5838,0.613,0.3866,0.3848,0.1481
He finally made it to the bank.,Konečně se dostal do banky.,40cc251e.jpeg,0.7133,0.7545,0.3351,0.3301,0.109
He finally made it to the bank.,Konečně se dostal do banky.,d12293c.jpeg,0.7125,0.7545,0.3997,0.3662,0.1341
So you see, they don't even own the plant.,Takže vidíte, že ani nevlastní tu rostlinu.,d8011246.jpeg,0.5919,0.6105,0.4348,0.3443,0.1185
So you see, they don't even own the plant.,Takže vidíte, že ani nevlastní tu rostlinu.,4bedbae4.jpeg,0.5803,0.6105,0.3246,0.3439,0.1182
There are still a couple of bugs left.,Pořád je tu ještě pár brouků.,b547ce7.jpeg,0.618,0.6739,0.3476,0.4546,0.2067
There are still a couple of bugs left.,Pořád je tu ještě pár brouků.,d1f5f19.jpeg,0.6251,0.6739,0.4603,0.5438,0.2958
Hand me that bow.,Podej mi ten luk.,8b24724.jpeg,0.4091,0.4293,0.315,0.4637,0.215
Hand me that bow.,Podej mi ten luk.,cf7bfad.jpeg,0.4079,0.4293,0.3219,0.4999,0.2499
Do you want to borrow my glasses?,Chceš si půjčit moje brýle?,dc8979e.jpeg,0.6333,0.6751,0.3866,0.4115,0.1693
Do you want to borrow my glasses?,Chceš si půjčit moje brýle?,9ef4910.jpeg,0.6259,0.6751,0.2935,0.3849,0.1481
There are chips in a bowl.,V misce jsou žetony.,c6249700.jpeg,0.4325,0.4229,0.4598,0.5939,0.3527
There are chips in a bowl.,V misce jsou žetony.,737c4103.jpeg,0.4069,0.4229,0.3576,0.5692,0.3239
We do silver nails too.,Taky děláme stříbrné nehty.,1acd9766.jpg,0.6371,0.6873,0.388,0.4491,0.2017
We do silver nails too.,Taky děláme stříbrné nehty.,92c962d4.jpeg,0.6433,0.6873,0.4342,0.4591,0.2108
First we should fill up the boot.,Nejdřív bychom měli naplnit botu.,a13f9a0.jpeg,0.6596,0.6937,0.3338,0.3233,0.1045
First we should fill up the boot.,Nejdřív bychom měli naplnit botu.,a01e98cb.jpeg,0.6619,0.6937,0.4325,0.3722,0.1386
Put down your arms.,Odložte ruce.,48ef354.jpeg,0.4979,0.5308,0.2685,0.379,0.1437
Put down your arms.,Odložte ruce.,f8f9418.jpeg,0.5089,0.5308,0.3726,0.401,0.1608
It must be the spring.,To musí být tím pramenem.,e20c4ff.jpeg,0.3922,0.3968,0.3698,0.4553,0.2073
It must be the spring.,To musí být tím pramenem.,458999c.jpeg,0.3906,0.3968,0.3653,0.4926,0.2426
My chest is quite heavy...,Můj hrudník je docela těžký...,edf9e44e.jpeg,0.6587,0.7134,0.4626,0.5279,0.2787
My chest is quite heavy...,Můj hrudník je docela těžký...,f4f9494.jpeg,0.6753,0.7134,0.2609,0.303,0.0918
The beam seems to be moving.,Paprsek se zřejmě pohybuje.,a8b1169.jpeg,0.4468,0.4923,0.3,0.5564,0.3096
The beam seems to be moving.,Paprsek se zřejmě pohybuje.,e50fb00.jpeg,0.4644,0.4923,0.2973,0.4086,0.1669
Over there by the pen.,Támhle u pera.,8de21f5.jpeg,0.321,0.32,0.3265,0.4296,0.1846
Over there by the pen.,Támhle u pera.,68161a4.jpeg,0.318,0.32,0.3056,0.4018,0.1615
They're braces.,Jsou to rovnátka.,230b2b4.jpeg,0.5033,0.5285,0.3018,0.3531,0.1246
They're braces.,Jsou to rovnátka.,a9ee65f.jpeg,0.4781,0.5285,0.3498,0.6269,0.3929
I know. The last one was a real nut.,Já vím, ten poslední byl fakt magor.,d9cbe61.jpeg,0.5392,0.5833,0.3263,0.4548,0.2069
I know. The last one was a real nut.,Já vím, ten poslední byl fakt magor.,7adadb10.jpeg,0.5456,0.5833,0.2701,0.37,0.1369
It might be easier with a pick.,S výběrem by to mohlo být jednodušší.,b599303.jpeg,0.5721,0.6066,0.4392,0.5092,0.2593
It might be easier with a pick.,S výběrem by to mohlo být jednodušší.,4a6ca5a.jpeg,0.5692,0.6066,0.3871,0.4531,0.2053
I have a club.,Mám klub.,cce02b1.jpeg,0.6047,0.6618,0.4139,0.5468,0.2989
I have a club.,Mám klub.,d01da65.jpeg,0.6116,0.6618,0.3406,0.4305,0.1853
Which port does he want?,Který přístav chce?,de257f1.jpeg,0.5446,0.5393,0.5757,0.4127,0.1704
Which port does he want?,Který přístav chce?,4511cf4.jpeg,0.5112,0.5393,0.3646,0.4377,0.1916
Sorry, the tape's just run out.,Promiň, ta páska právě došla.,cc50c7e0.jpeg,0.5161,0.5399,0.3603,0.39,0.1521
Sorry, the tape's just run out.,Promiň, ta páska právě došla.,8207d9b2.jpeg,0.5125,0.5399,0.3766,0.4483,0.201
They checked the seal.,Zkontrolovali pečeť.,8b12aebf.jpeg,0.5442,0.5586,0.3781,0.2947,0.0868
They checked the seal.,Zkontrolovali pečeť.,59364b5.jpeg,0.5227,0.5586,0.3134,0.4143,0.1716
Why is the chair here?,Proč je tady ta židle?,2caf5d9.jpeg,0.6945,0.7753,0.3892,0.5144,0.2646
Why is the chair here?,Proč je tady ta židle?,ef02ac2.jpeg,0.6758,0.7753,0.4527,0.6679,0.4461
There must be a hole in the tank somewhere.,Někde v nádrži musí být díra.,22f9dcb.jpeg,0.6216,0.655,0.4238,0.4107,0.1687
There must be a hole in the tank somewhere.,Někde v nádrži musí být díra.,acb5659.jpeg,0.6132,0.655,0.4378,0.4886,0.2387
We're going to have to do without the poker then.,Budeme se muset obejít bez pokeru.,c0816da.jpeg,0.5925,0.6256,0.3927,0.4074,0.166
We're going to have to do without the poker then.,Budeme se muset obejít bez pokeru.,32da2f5.jpeg,0.5949,0.6256,0.2902,0.3173,0.1007
I don't give a damn about the cup.,Kašlu na ten kelímek.,2f05055.jpeg,0.4042,0.413,0.3582,0.4374,0.1913
I don't give a damn about the cup.,Kašlu na ten kelímek.,247987b2.jpeg,0.3986,0.413,0.3404,0.4984,0.2484
The fans were still out of order.,Fanoušci byli stále mimo provoz.,0316663.jpeg,0.6247,0.6494,0.4516,0.3784,0.1432
