id,source,candidate,image,Final_Weighted_Score,Text_Fidelity,Visual_Grounding,Image_Relevance
0,We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,mole.jpeg,0.6288,0.6676,0.3564,0.3774
1,He finally made it to the bank.,Er kam endlich an der Bank an.,bank.jpeg,0.7584,0.8073,0.3555,0.3481
2,We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,mole.jpeg,0.6295,0.6676,0.3597,0.3759
3,He finally made it to the bank.,Er kam endlich an der Bank an.,bank.jpeg,0.7601,0.8073,0.3545,0.3408
4,We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,mole.jpeg,0.6293,0.6676,0.3579,0.3754
5,He finally made it to the bank.,Er kam endlich an der Bank an.,bank.jpeg,0.7587,0.8073,0.3551,0.3469
6,We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,mole.jpeg,0.6299,0.6676,0.3583,0.3725
7,He finally made it to the bank.,Er kam endlich an der Bank an.,bank.jpeg,0.7603,0.8073,0.3524,0.3394
8,We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,mole.jpeg,0.6288,0.6676,0.3564,0.3774
9,He finally made it to the bank.,Er kam endlich an der Bank an.,bank.jpeg,0.7584,0.8073,0.3555,0.3481
10,We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,mole.jpeg,0.6295,0.6676,0.3597,0.3759
11,He finally made it to the bank.,Er kam endlich an der Bank an.,bank.jpeg,0.7601,0.8073,0.3545,0.3408
12,We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,mole.jpeg,0.6293,0.6676,0.3579,0.3754
13,He finally made it to the bank.,Er kam endlich an der Bank an.,bank.jpeg,0.7587,0.8073,0.3551,0.3469
14,We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,mole.jpeg,0.6299,0.6676,0.3583,0.3725
15,He finally made it to the bank.,Er kam endlich an der Bank an.,bank.jpeg,0.7603,0.8073,0.3524,0.3394
16,We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,mole.jpeg,0.6284,0.6673,0.3573,0.3786
17,He finally made it to the bank.,Er kam endlich an der Bank an.,bank.jpeg,0.7595,0.8079,0.3575,0.3468
18,We'll have to get rid of that mole.,Wir müssen uns von diesem Maulwurf trennen.,mole.jpeg,0.6293,0.6673,0.3619,0.3767
19,He finally made it to the bank.,Er kam endlich an der Bank an.,bank.jpeg,0.7611,0.8079,0.3563,0.3397
