Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
We'll have to get rid of that mole.,Musíme se zbavit toho krysáka.,e9490cd.jpeg,0.5799,0.605,0.3857,0.3599,0.1295
We'll have to get rid of that mole.,Musíme se zbavit toho krysáka.,e2f18daf.jpeg,0.5804,0.605,0.4143,0.3848,0.1481
He finally made it to the bank.,Nakonec se dostal k bance.,40cc251e.jpeg,0.589,0.6095,0.4005,0.3301,0.109
He finally made it to the bank.,Nakonec se dostal k bance.,d12293c.jpeg,0.5735,0.6095,0.3052,0.3662,0.1341
So you see, they don't even own the plant.,Takže vidíš, oni ani ne vlastní tu továrnu.,d8011246.jpeg,0.6298,0.6703,0.2882,0.3443,0.1185
So you see, they don't even own the plant.,Takže vidíš, oni ani ne vlastní tu továrnu.,4bedbae4.jpeg,0.6355,0.6703,0.3409,0.3439,0.1182
There are still a couple of bugs left.,Stále tu je pár chyb.,b547ce7.jpeg,0.5904,0.6262,0.4175,0.4546,0.2067
There are still a couple of bugs left.,Stále tu je pár chyb.,d1f5f19.jpeg,0.5649,0.6262,0.3577,0.5438,0.2958
Hand me that bow.,Dej mi tu smyčku.,8b24724.jpeg,0.5027,0.5428,0.3161,0.4637,0.215
Hand me that bow.,Dej mi tu smyčku.,cf7bfad.jpeg,0.4907,0.5428,0.2825,0.4999,0.2499
Do you want to borrow my glasses?,Chcete si půjčit mé brýle?,dc8979e.jpeg,0.6494,0.6867,0.4292,0.4115,0.1693
Do you want to borrow my glasses?,Chcete si půjčit mé brýle?,9ef4910.jpeg,0.6425,0.6867,0.3441,0.3849,0.1481
There are chips in a bowl.,V misce jsou brambůrky.,c6249700.jpeg,0.3513,0.3644,0.3141,0.5939,0.3527
There are chips in a bowl.,V misce jsou brambůrky.,737c4103.jpeg,0.3646,0.3644,0.365,0.5692,0.3239
We do silver nails too.,Děláme také stříbrné nehty.,1acd9766.jpg,0.6679,0.7267,0.3764,0.4491,0.2017
We do silver nails too.,Děláme také stříbrné nehty.,92c962d4.jpeg,0.6744,0.7267,0.4264,0.4591,0.2108
First we should fill up the boot.,Nejprve bychom měli naplnit kufr.,a13f9a0.jpeg,0.6304,0.6607,0.3397,0.3233,0.1045
First we should fill up the boot.,Nejprve bychom měli naplnit kufr.,a01e98cb.jpeg,0.6248,0.6607,0.3655,0.3722,0.1386
Put down your arms.,Poklaďte zbraně.,48ef354.jpeg,0.5604,0.5722,0.4778,0.379,0.1437
Put down your arms.,Poklaďte zbraně.,f8f9418.jpeg,0.5358,0.5722,0.3094,0.401,0.1608
It must be the spring.,Musí to být jaro.,e20c4ff.jpeg,0.6622,0.7077,0.4425,0.4553,0.2073
It must be the spring.,Musí to být jaro.,458999c.jpeg,0.6508,0.7077,0.4163,0.4926,0.2426
My chest is quite heavy...,Mám těžkou hruď...,edf9e44e.jpeg,0.5645,0.6099,0.4018,0.5279,0.2787
My chest is quite heavy...,Mám těžkou hruď...,f4f9494.jpeg,0.5825,0.6099,0.2847,0.303,0.0918
The beam seems to be moving.,Stropní nosník se zdá být v pohybu.,a8b1169.jpeg,0.4584,0.5291,0.2299,0.5564,0.3096
The beam seems to be moving.,Stropní nosník se zdá být v pohybu.,e50fb00.jpeg,0.494,0.5291,0.2837,0.4086,0.1669
Over there by the pen.,Tamhle u pera.,8de21f5.jpeg,0.2724,0.2649,0.3132,0.4296,0.1846
Over there by the pen.,Tamhle u pera.,68161a4.jpeg,0.2671,0.2649,0.2809,0.4018,0.1615
They're braces.,Jsou to dlahy.,230b2b4.jpeg,0.5087,0.5324,0.3184,0.3531,0.1246
They're braces.,Jsou to dlahy.,a9ee65f.jpeg,0.4851,0.5324,0.365,0.6269,0.3929
I know. The last one was a real nut.,Já vím. Ten poslední byl opravdu blázen.,d9cbe61.jpeg,0.6006,0.6492,0.3659,0.4548,0.2069
I know. The last one was a real nut.,Já vím. Ten poslední byl opravdu blázen.,7adadb10.jpeg,0.6049,0.6492,0.2813,0.37,0.1369
It might be easier with a pick.,Může to být snadnější s kleštěm.,b599303.jpeg,0.597,0.6553,0.3718,0.5092,0.2593
