Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
We'll have to get rid of that mole.,Budeme to muset odstranit.,e9490cd.jpeg,0.5533,0.5842,0.3146,0.3599,0.1295
We'll have to get rid of that mole.,Budeme se muset té krtek zbavit.,e2f18daf.jpeg,0.5528,0.587,0.3216,0.3848,0.1481
He finally made it to the bank.,Konečně dorazil k břehu.,40cc251e.jpeg,0.5387,0.561,0.334,0.3301,0.109
He finally made it to the bank.,Konečně dorazil do banky.,d12293c.jpeg,0.6565,0.6952,0.3684,0.3662,0.1341
So you see, they don't even own the plant.,Vidíte, rostlinu ani nevlastní.,d8011246.jpeg,0.5006,0.5024,0.4849,0.3443,0.1185
So you see, they don't even own the plant.,Vidíte, ani nevlastní elektrárnu.,4bedbae4.jpeg,0.4975,0.5086,0.4036,0.3439,0.1182
There are still a couple of bugs left.,Ještě tu zbývají nějaké chyby.,b547ce7.jpeg,0.5541,0.5782,0.4374,0.4546,0.2067
There are still a couple of bugs left.,Ještě pár brouků zůstalo.,d1f5f19.jpeg,0.595,0.6109,0.5413,0.5438,0.2958
Hand me that bow.,Dej mi tu mašličku.,8b24724.jpeg,0.4808,0.5185,0.3055,0.4637,0.215
Hand me that bow.,Dej mi ten luk.,cf7bfad.jpeg,0.3686,0.3864,0.297,0.4999,0.2499
Do you want to borrow my glasses?,Chceš si půjčit moje brýle?,dc8979e.jpeg,0.6333,0.6751,0.3866,0.4115,0.1693
Do you want to borrow my glasses?,Chceš si půjčit mé sklenice?,9ef4910.jpeg,0.5839,0.6143,0.3786,0.3849,0.1481
There are chips in a bowl.,Jsou tam žetony v misce.,c6249700.jpeg,0.5093,0.519,0.4817,0.5939,0.3527
There are chips in a bowl.,V misce jsou hranolky.,737c4103.jpeg,0.4378,0.4537,0.3887,0.5692,0.3239
We do silver nails too.,My také děláme stříbrné nehty.,1acd9766.jpg,0.627,0.6732,0.3981,0.4491,0.2017
We do silver nails too.,Také máme stříbrné hřebíky.,92c962d4.jpeg,0.4744,0.4774,0.4599,0.4591,0.2108
First we should fill up the boot.,Nejdřív naplníme kufr.,a13f9a0.jpeg,0.5423,0.5673,0.3025,0.3233,0.1045
